IRS-Number,Spray Date,SOP Code,County,Sub-county,Ward,Sub-location,Village,Sprayed,Re-visit,Reason for No Spray,Not sprayed: Female Children < 5 years,Not sprayed: Male Children < 5 years,Sprayed: Female Children < 5 years,Sprayed: Male Children < 5 years,Institution Name,Female Children <5 years sleeping under nets,Male Children <5 years sleeping under nets,Nets owned,Not sprayed: Female,Not sprayed: Male,Not sprayed: Pregnant women,Number Mixed,Pregnant women sleeping under nets,Rooms found,Rooms sprayed,Number Sleeping under nets,Sprayed: Female,Sprayed: Male,Sprayed: Pregnant women,Nets in use (Details),Children <5 years sleeping under nets
372368,04/12/2023,2030786,Homa Bay County,Ndhiwa Sub-County,North Kabuoch Ward,Konyango East Sub-location,Aluor Village (Konyango East Sub-location),1,,,0,0,0,0,,,,0,,,,0,,2,2,,0,3,0,0,
244823,4/18/2023,2051235,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kodero Sub-location,Kobala Village (Kodero Sub-location),1,,,0,0,0,0,,,,0,,,,1,,4,4,,1,0,0,0,
147269,03/06/2023,1070898,Migory County,Uriri Sub-County,West Kanyamkago Ward,Kajulu 2 Upper Sub-location,Dunga I Village,1,,,,,2,0,,,,2,,,,1,0,3,3,5,3,2,0,2,2
243488,04/12/2023,2051218,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kowili Sub-location (Rachuonyo North Ward),Kamolo B & Kawiti Village,1,,,0,0,0,0,,,,0,,,,0,,3,3,,0,1,0,0,
274027,4/18/2023,2051145,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo West Ward,Kayoo West Sub-location (Karachuonyo West Ward),Koguma Village,1,,,0,0,0,2,,,,1,,,,0,0,3,3,2,1,4,1,1,0
243466,04/12/2023,2051214,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kowili Sub-location (Rachuonyo North Ward),Kokendo A & B Village,1,,,0,0,0,0,,,,2,,,,0,0,3,3,3,3,0,0,2,0
146936,03/06/2023,1070870,Migory County,Uriri Sub-County,West Kanyamkago Ward,Kajulu 1B Sub-location,Nyandwat Village,1,,,,,0,0,,,,0,,,,0,,1,1,,1,3,0,0,
253521,04/12/2023,2051167,Homa Bay County,Rachuonyo North Sub-County,Central Karachuonyo Ward,Kodondi Sub-location,Kwaro B Village,1,,,0,0,0,0,,,,0,,,,1,,4,2,,2,1,0,0,
259395,04/12/2023,2051269,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo North Ward,Koredo Sub-location,Akech Village,1,,,0,0,0,0,,,,1,,,,1,0,2,2,1,1,0,0,1,0
306094,04/12/2023,2061357,Homa Bay County,Rachuonyo South Sub-County,West Kasipul Ward,Karabach Sub-location,Dindi Village,1,,,0,0,0,0,,,,1,,,,0,0,2,2,2,0,2,0,1,0
5039,03/06/2023,1020305,Migory County,Awendo Sub-County,Central Sakwa Ward,Kamaure Sub-location,Konoka A Village,1,,,,,0,1,,,,2,,,,0,0,3,3,5,1,1,0,2,1
99170,03/06/2023,1060772,Migory County,Suna West Sub-County,Wasweta 2 Ward,Nyamilu sub location,Ramoya C Village (Nyamilu sub location),1,,,,,1,0,,,,1,,,,0,0,2,2,3,2,1,0,1,1
48759,03/06/2023,1030555,Migory County,Nyatike Sub-County,Muhuru Ward,Ibencho Sub-location,Bamgot A Village,1,,,,,0,0,,,,1,,,,0,0,1,1,1,0,1,0,1,0
87673,03/06/2023,1060814,Migory County,Suna West Sub-County,Oruba Ragana Ward,Lower Marindi Sub-location,Pand Pieri Village (Lower Marindi Sub-location),1,,,,,0,0,,,,1,,,,1,0,1,1,1,0,1,0,1,0
216705,04/12/2023,2041003,Homa Bay County,Rachuonyo East Sub-County,Kokwanyo Kakelo Ward,Kakelo Dudi B Sub-location,Matabore B Village,1,,,0,0,2,0,,,,0,,,,0,,3,3,,2,4,0,0,
121883,03/06/2023,1070958,Migory County,Uriri Sub-County,North Kanyamkago Ward,Katieno 2 Lower Sub-location,Nyaroya Village (Katieno 2 Lower Sub-location),1,,,,,0,0,,,,1,,,,0,1,3,3,1,2,3,1,1,0
14487,03/06/2023,1020371,Migory County,Awendo Sub-County,South Sakwa Ward,Alego East Sub-location,Olande Village (Alego East Sub-location),1,,,,,0,0,,,,1,,,,0,0,3,3,2,1,1,0,1,0
6360,03/06/2023,1020333,Migory County,Awendo Sub-County,North Sakwa Ward,East Kakmasia Sub-location,Kibabu Village,1,,,,,1,0,,,,0,,,,1,,2,2,,2,2,1,0,
33553,03/06/2023,1030488,Migory County,Nyatike Sub-County,Kachieng Ward,Gunga Sub-location,Kaduro Village,1,,,,,1,1,,,,2,,,,1,1,3,3,4,3,2,1,2,2
121858,03/06/2023,1070948,Migory County,Uriri Sub-County,North Kanyamkago Ward,Katieno 2 Sub-location,Nyaongo B Village,1,,,,,0,2,,,,1,,,,1,0,3,3,2,0,4,0,1,2
65904,03/06/2023,1050677,Migory County,Suna East Sub-County,Kakrao Ward,Saro Sub-location,Makongitwa Village,1,,,,,0,1,,,,2,,,,0,0,2,2,3,1,2,0,2,1
61622,03/06/2023,1050716,Migory County,Suna East Sub-County,God Jope Ward,Wasio Sub-location,Andingo A Village (Wasio Sub-location),1,,,,,0,0,,,,4,,,,0,0,8,5,6,3,3,0,4,1
104548,03/06/2023,1060725,Migory County,Suna West Sub-County,Wiga Ward,Mukuro Sub-location,Kipingi Village (Mukuro Sub-location),0,,3. Funeral,0,0,,,,,,1,1,1,0,0,0,2,,2,,,,1,0
324420,4/18/2023,2071454,Homa Bay County,Rangwe Sub-County,Kochia Ward,Kamenya (Kochia Ward) Sub-location,Nyangweso Village (Kamenya Sub-location),1,,,0,0,1,2,,,,2,,,,0,0,5,5,6,3,3,0,2,2
14446,03/06/2023,1020388,Migory County,Awendo Sub-County,South Sakwa Ward,Kogelo South Sub-location,Loorateng Village,1,,,,,0,0,,,,0,,,,0,,3,3,,0,3,0,0,
26699,03/06/2023,1030567,Migory County,Nyatike Sub-County,Got Kachola Ward,Aneko Sub-location,Kambi 1 Village,1,,,,,1,0,,,,1,,,,0,0,3,3,2,2,1,0,1,1
87787,03/06/2023,1060825,Migory County,Suna West Sub-County,Oruba Ragana Ward,Oruba Sub-location,Siany Nyamome Village,1,,,,,1,0,,,,3,,,,0,1,3,3,6,4,2,1,3,1
188032,04/12/2023,2030737,Homa Bay County,Ndhiwa Sub-County,Kwabwai Ward,Kitiro Sub-location,Ngara Bach Village,1,,,0,0,0,0,,,,2,,,,0,0,3,3,4,2,2,0,2,0
36092,03/06/2023,1030532,Migory County,Nyatike Sub-County,Kaler Ward,Bande Sub-location,Lwanda Lower Village,1,,,,,0,1,,,,2,,,,0,0,1,1,3,1,2,0,2,1
234132,04/12/2023,2041054,Homa Bay County,Rachuonyo East Sub-County,Kabondo East Ward,Rongo Pala Sub-location,Kamigeni C Village,1,,,0,0,0,0,,,,2,,,,0,0,3,3,3,1,2,0,2,0
234387,04/12/2023,2041030,Homa Bay County,Rachuonyo East Sub-County,Kabondo East Ward,Kodhoch East Sub-location,Kasala A Village,1,,,0,0,0,1,,,,1,,,,0,0,3,3,2,2,2,0,1,2
119805,3/17/2023,1070975,Migory County,Uriri Sub-County,East Kanyamkago Ward,Thimjope Sub-location,Thim Jope A Village,1,,,,,0,0,,,,1,,,,1,0,3,3,1,1,0,0,1,0
181016,04/12/2023,2030830,Homa Bay County,Ndhiwa Sub-County,Kosewe Ward,Kwamo Sub-location,Rachar Village,1,,,0,0,2,2,,,,2,,,,0,0,2,2,6,3,3,0,2,4
21048,03/06/2023,1020410,Migory County,Awendo Sub-County,West Sakwa Ward,Wanga Sub-location,Kokumu Village (Wanga Sub-Location),1,,,,,0,0,,,,2,,,,1,0,3,3,4,1,3,0,2,0
243625,04/12/2023,2051231,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kawadggone Sub-location,Adhiambo Village,1,,,0,0,0,0,,,,2,,,,0,0,2,2,4,1,4,0,2,0
87857,03/06/2023,1060830,Migory County,Suna West Sub-County,Oruba Ragana Ward,Oruba Sub-location,Nyamome Village (Oruba Sub-location),1,,,,,0,1,,,,1,,,,0,0,4,4,3,1,2,0,1,1
6262,03/06/2023,1020326,Migory County,Awendo Sub-County,North Sakwa Ward,Kanyasrega Sub-location,Wayendhe Village,1,,,,,1,1,,,,1,,,,0,0,3,3,3,4,3,0,1,2
320763,4/18/2023,2071460,Homa Bay County,Rangwe Sub-County,Kochia Ward,Korayo Sub-location,Upper Kawuor Village (Korayo Sub-location),1,,,0,0,0,1,,,,0,,,,0,,2,1,,2,2,0,0,
326663,4/18/2023,2071476,Homa Bay County,Rangwe Sub-County,West Gem Ward,Kamagawi Sub-location,Lower Kadacha Village,1,,,0,0,1,2,,,,1,,,,0,1,3,2,3,3,2,1,1,2
249601,4/18/2023,2051105,Homa Bay County,Rachuonyo North Sub-County,Kanyaluo Ward,Kamenya North Sub-location,Oyombe A Village (Kamenya North Sub-location),1,,,0,0,0,0,,,,0,,,,0,,2,2,,2,2,0,0,
316248,4/18/2023,2071424,Homa Bay County,Rangwe Sub-County,Kagan Ward,Komenya  Sub-location,Mado Village,1,,,0,0,2,1,,,,4,,,,0,0,6,5,6,5,5,0,4,3
66120,03/06/2023,1050693,Migory County,Suna East Sub-County,Kakrao Ward,Anjego Sub-location,Mwache B Village,1,,,,,1,1,,,,1,,,,0,0,3,3,1,1,2,0,1,0
298010,04/12/2023,2061315,Homa Bay County,Rachuonyo South Sub-County,South Kasipul Ward,Kawino Sub-location,Bilo Village,1,,,0,0,0,0,,,,1,,,,0,0,2,2,2,1,1,0,1,0
117205,03/06/2023,1070977,Migory County,Uriri Sub-County,East Kanyamkago Ward,Thimjope Sub-location,Pith Nyadundo B Village,1,,,,,1,0,,,,1,,,,0,0,2,2,3,4,1,0,1,1
169190,04/12/2023,2101536,Homa Bay County,Suba Central Sub-County,Mfangano Ward,Waware Sub-location (Mfangano Ward),Kaswanga Nyankoria Village (Waware Sub - Mfangano Ward),1,,,0,0,0,1,,,,1,,,,1,0,1,1,3,4,1,0,1,1
21075,03/06/2023,1020416,Migory County,Awendo Sub-County,West Sakwa Ward,South Kanyamgony Sub-location,Anduongo Village,1,,,,,0,0,,,,0,,,,0,,6,4,,1,4,0,0,
23757,3/17/2023,1020396,Migory County,Awendo Sub-County,West Sakwa Ward,Opoya Sub-location,Kabuora Village,1,,,,,1,1,,,,3,,,,1,0,5,4,6,6,4,0,3,2
314261,4/18/2023,2071512,Homa Bay County,Rangwe Sub-County,East Gem Ward,Kotieno Sub-location,Kakech Village,1,,,0,0,0,0,,,,1,,,,0,1,2,2,3,1,2,1,1,0
325936,04/12/2023,2071481,Homa Bay County,Rangwe Sub-County,West Gem Ward,Genga A Sub-location,Kalango Village,1,,,0,0,0,0,,,,1,,,,0,0,3,2,2,2,0,0,1,0
311179,4/18/2023,2071504,Homa Bay County,Rangwe Sub-County,East Gem Ward,Koyolo Sub-location,Katunglu Village,1,,,0,0,0,1,,,,2,,,,0,1,2,2,4,3,1,1,2,1
252827,04/12/2023,2051195,Homa Bay County,Rachuonyo North Sub-County,Kendu Town Ward,Kotieno  Sub-location,Bware A Village,1,,,0,0,0,0,,,,1,,,,0,1,2,1,2,1,1,1,1,0
243433,04/12/2023,2051217,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kowili Sub-location (Rachuonyo North Ward),Konyango A&B Village,1,,,0,0,0,0,,,,1,,,,0,0,2,2,2,1,1,0,1,0
181138,04/12/2023,2030838,Homa Bay County,Ndhiwa Sub-County,Kosewe Ward,Upper Kayambo Sub-location,Kenga Village,1,,,0,0,1,0,,,,2,,,,1,0,4,4,3,4,3,0,2,1
261379,4/18/2023,2051244,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo North Ward,Wagwe North Sub-location,Rarieda A Village,1,,,0,0,0,1,,,,2,,,,0,0,3,3,4,5,2,0,2,1
10738,3/17/2023,1020341,Migory County,Awendo Sub-County,North Sakwa Ward,Kanyasrega Sub-location,Kagola Village (Kanyasrega Sub-location),1,,,,,0,0,,,,1,,,,1,0,4,4,1,0,1,0,1,0
178277,04/12/2023,2030887,Homa Bay County,Ndhiwa Sub-County,Kologi Ward,Kajwang Sub-location,Ramoya B Village (Kajwang Sub-location),1,,,0,0,0,1,,,,3,,,,0,0,4,4,6,3,3,0,3,1
5317,03/06/2023,1020310,Migory County,Awendo Sub-County,Central Sakwa Ward,Kasidula Sub-location,Kawuor Nyasanja Village,1,,,,,0,1,,,,2,,,,0,0,3,3,6,2,4,0,2,1
101611,3/17/2023,1060763,Migory County,Suna West Sub-County,Wasweta 2 Ward,Nyamange sub location,Magoto B Village (Nyamange sub location),1,,,,,0,0,,,,2,,,,1,0,2,2,5,4,1,0,2,0
66054,03/06/2023,1050656,Migory County,Suna East Sub-County,Kakrao Ward,Anjego Sub-location,Mwache C Village,1,,,,,1,0,,,,2,,,,1,0,3,3,3,2,1,0,2,1
134221,3/17/2023,1070841,Migory County,Uriri Sub-County,South Kanyamkago Ward,Bware Sub-location,Sigiria C Village,1,,,,,0,0,,,,2,,,,1,0,3,3,3,1,2,0,2,0
6591,03/06/2023,1020355,Migory County,Awendo Sub-County,North Sakwa Ward,Kwoyo Kodalo  Sub-location,Kawanya Village,1,,,,,0,0,,,,1,,,,0,0,2,2,2,0,2,0,1,0
178273,04/12/2023,2030887,Homa Bay County,Ndhiwa Sub-County,Kologi Ward,Kajwang Sub-location,Ramoya B Village (Kajwang Sub-location),1,,,0,0,0,0,,,,1,,,,0,1,4,4,2,1,1,1,1,0
243586,04/12/2023,2051227,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kawadggone Sub-location,Adhiambo Village,1,,,0,0,0,0,,,,1,,,,0,0,2,2,5,4,3,0,1,0
324628,4/18/2023,2071453,Homa Bay County,Rangwe Sub-County,Kochia Ward,Kamenya (Kochia Ward) Sub-location,Nyangweso Village (Kamenya Sub-location),1,,,0,0,0,0,,,,1,,,,0,0,4,2,1,0,1,0,1,0
113982,3/17/2023,1070994,Migory County,Uriri Sub-County,Central Kanyamkago Ward,East Kawere Rateng Sub-location,Nyamilu Village,1,,,,,0,1,,,,2,,,,1,0,3,3,4,2,5,0,2,1
23953,3/17/2023,1020411,Migory County,Awendo Sub-County,West Sakwa Ward,Wanga Sub-location,Kombasa Kawuor Village,1,,,,,1,0,,,,1,,,,0,0,2,2,2,4,1,1,1,1
263348,04/12/2023,2051254,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo North Ward,Koyumbre Sub-location,Owuor Upper Village,1,,,0,0,0,1,,,,3,,,,0,0,3,3,7,3,4,0,3,1
160981,04/12/2023,2020670,Homa Bay County,Homabay Township Sub-County,Homabay East Ward,Komolo Sub-location,Dissi Village,1,,,0,0,0,1,,,,3,,,,1,0,5,4,6,2,4,0,3,1
257699,4/18/2023,2051197,Homa Bay County,Rachuonyo North Sub-County,Kendu Town Ward,upper kakwajuok Sub-location,Rapul Village,1,,,0,0,0,0,,,,0,,,,0,,3,3,,2,1,0,0,
23925,3/17/2023,1020415,Migory County,Awendo Sub-County,West Sakwa Ward,South Kanyamgony Sub-location,Got Lee Village (South Kanyamgony Sub-location),1,,,,,0,0,,,,1,,,,1,0,2,2,1,1,0,0,1,0
221414,04/12/2023,2041080,Homa Bay County,Rachuonyo East Sub-County,Kojwach Ward,Kamuga (Kojwach Ward) Sub-location,Pundo Village (Kamuga Sub-location),1,,,0,0,0,0,,,,3,,,,1,1,3,2,6,1,3,1,3,1
20970,03/06/2023,1020408,Migory County,Awendo Sub-County,West Sakwa Ward,North Kanyamgony Sub-location,Nyarombo Gold Mine Village,1,,,,,0,4,,,,5,,,,0,0,8,8,9,3,6,0,5,4
52818,03/06/2023,1030435,Migory County,Nyatike Sub-County,North Kadem Ward,Kakelo Kakoth Sub-location,Manywanda Village (Kakelo Kakoth Sub-location),1,,,,,0,2,,,,2,,,,0,0,4,2,4,3,2,0,2,3
234129,04/12/2023,2041054,Homa Bay County,Rachuonyo East Sub-County,Kabondo East Ward,Rongo Pala Sub-location,Kamigeni C Village,1,,,0,0,0,0,,,,1,,,,1,0,3,3,1,1,0,0,1,0
134317,3/17/2023,1070845,Migory County,Uriri Sub-County,South Kanyamkago Ward,Kamsaki Sub-location,Kamsaki A Village,1,,,,,0,0,,,,2,,,,0,0,2,2,5,3,2,0,2,0
147139,03/06/2023,1070892,Migory County,Uriri Sub-County,West Kanyamkago Ward,Lower Kajulu 1 Sub-location,Got Korwa Village (Lower Kajulu 1 Sub-location),1,,,,,0,0,,,,1,,,,0,0,3,3,1,2,1,0,1,0
75000,03/06/2023,1050634,Migory County,Suna East Sub-County,Kwa Ward,Onguo Sub-location,Aredha Village,1,,,,,0,0,,,,1,,,,0,0,3,2,2,2,0,0,1,0
14282,03/06/2023,1020380,Migory County,Awendo Sub-County,South Sakwa Ward,Kogelo East Sub-location,Dago Village (Kogelo East Sub-location),1,,,,,1,0,,,,3,,,,0,0,5,5,3,2,4,0,3,1
275219,4/18/2023,2051152,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo West Ward,Kowuor Sub-location,Kokelo B Village,1,,,0,0,0,0,,,,1,,,,1,0,2,2,1,1,0,0,1,0
254542,4/18/2023,2051191,Homa Bay County,Rachuonyo North Sub-County,Kendu Town Ward,upper kakwajuok Sub-location,Pala Village (Upper Kakwajuok Sub-location),1,,,0,0,0,0,,,,1,,,,0,0,3,2,2,0,2,0,1,0
75134,03/06/2023,1050644,Migory County,Suna East Sub-County,Kwa Ward,Lwanda Asande Sub-location,Thidhna Rural Village,1,,,,,0,0,,,,1,,,,0,0,1,1,2,1,1,0,1,0
216661,04/12/2023,2041001,Homa Bay County,Rachuonyo East Sub-County,Kokwanyo Kakelo Ward,Kakelo Dudi B Sub-location,Matabore B Village,1,,,0,0,0,0,,,,1,,,,1,0,3,3,1,3,3,0,1,0
65920,03/06/2023,1050678,Migory County,Suna East Sub-County,Kakrao Ward,Saro Sub-location,Makongitwa Village,1,,,,,0,2,,,,0,,,,0,,3,3,,3,4,0,0,
216717,04/12/2023,2041005,Homa Bay County,Rachuonyo East Sub-County,Kokwanyo Kakelo Ward,Kakelo Dudi B Sub-location,Matabore B Village,1,,,0,0,0,0,,,,0,,,,0,,2,1,,1,0,0,0,
225359,04/12/2023,2041064,Homa Bay County,Rachuonyo East Sub-County,Kabondo West Ward,Kasewe A Sub-location,Kitare D Village,1,,,0,0,1,0,,,,2,,,,1,0,3,3,4,4,0,0,2,0
260343,04/12/2023,2051248,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo North Ward,Wagwe North Sub-location,Nyibul Village,1,,,0,0,0,2,,,,2,,,,0,0,2,2,4,1,2,0,2,2
75138,03/06/2023,1050643,Migory County,Suna East Sub-County,Kwa Ward,Lwanda Asande Sub-location,Thidhna Rural Village,1,,,,,1,1,,,,0,,,,1,,1,1,,2,1,0,0,
134380,3/17/2023,1070861,Migory County,Uriri Sub-County,South Kanyamkago Ward,Got Uriri Sub-location,Ombo Got Village,1,,,,,0,0,,,,1,,,,0,0,2,2,2,1,4,0,1,0
52783,03/06/2023,1030437,Migory County,Nyatike Sub-County,North Kadem Ward,Kakelo Kakoth Sub-location,Manywanda Village (Kakelo Kakoth Sub-location),1,,,,,0,0,,,,1,,,,0,0,1,1,2,1,1,0,1,0
126614,3/17/2023,1070947,Migory County,Uriri Sub-County,North Kanyamkago Ward,Kamgundho I Sub-location,Kadede Village (Kamgundho 1 Sub-location),1,,,,,0,0,,,,2,,,,0,0,4,2,4,1,3,0,2,0
147789,04/12/2023,2020719,Homa Bay County,Homabay Township Sub-County,Homabay Central Ward,Kalanya Kanyango Sub-location,Kuja B Village,0,,4. Refused,0,0,,,,,,1,1,2,0,0,0,3,,1,,,,1,0
147371,03/06/2023,1070911,Migory County,Uriri Sub-County,West Kanyamkago Ward,Kajulu 2 Lower Sub-location,Kiwiro Village (Kajulu 2 Lower Sub-location),1,,,,,0,0,,,,2,,,,1,0,3,3,4,3,1,0,2,0
226033,04/12/2023,2040977,Homa Bay County,Rachuonyo East Sub-County,Kabondo West Ward,Kodumo West Sub-location,Kachieng' Opanga Village,1,,,0,0,0,0,,,,2,,,,0,0,4,4,2,1,1,0,2,0
6563,03/06/2023,1020351,Migory County,Awendo Sub-County,North Sakwa Ward,East Kakmasia Sub-location,Obuya Village (Kakmasia Sub-location),1,,,,,0,0,,,,2,,,,0,0,2,2,2,2,1,0,2,0
20886,03/06/2023,1020394,Migory County,Awendo Sub-County,West Sakwa Ward,Kwe Sub-location,Kwe Village,1,,,,,0,1,,,,2,,,,1,0,3,1,2,1,2,0,2,1
293158,04/12/2023,2061368,Homa Bay County,Rachuonyo South Sub-County,West Kamagak Ward,Kokal  Sub-location,Got Koboch Village,1,,,0,0,0,1,,,,1,,,,0,0,3,2,3,2,2,0,1,1
227050,04/12/2023,2040960,Homa Bay County,Rachuonyo East Sub-County,Kabondo West Ward,Koloo Sub-location,Asego Village (Koloo Sub-location),1,,,0,0,0,0,,,,0,,,,0,,3,3,,1,3,0,0,
188061,04/12/2023,2030739,Homa Bay County,Ndhiwa Sub-County,Kwabwai Ward,Kitiro Sub-location,Ngara Bach Village,1,,,0,0,1,0,,,,1,,,,0,0,3,3,2,2,1,0,1,1
188267,04/12/2023,2030752,Homa Bay County,Ndhiwa Sub-County,Kwabwai Ward,Rachar Sub-location,Munga Village,1,,,0,0,0,2,,,,1,,,,0,0,1,1,2,1,5,0,1,0
334,3/17/2023,1020306,Migory County,Awendo Sub-County,Central Sakwa Ward,Kanyagwala Sub-location,Kindu B Village,1,,,,,0,0,,,,1,,,,0,1,2,2,2,1,1,1,1,0
227111,04/12/2023,2040965,Homa Bay County,Rachuonyo East Sub-County,Kabondo West Ward,Koloo Sub-location,Kanyanguara Village,1,,,0,0,0,1,,,,3,,,,0,0,5,4,7,3,4,0,3,1
97084,3/17/2023,1060789,Migory County,Suna West Sub-County,Wasimbete Ward,Giribe Sub-location,Lwala A Village (Giribe Sub-location),1,,,,,0,1,,,,0,,,,0,,3,3,,3,3,0,0,
130243,03/06/2023,1070841,Migory County,Uriri Sub-County,South Kanyamkago Ward,Bware Sub-location,Kisungwanua B Village,1,,,,,0,0,,,,1,,,,0,0,3,3,2,1,1,0,1,0
320767,4/18/2023,2071463,Homa Bay County,Rangwe Sub-County,Kochia Ward,Korayo Sub-location,Upper Kawuor Village (Korayo Sub-location),1,,,0,0,0,0,,,,2,,,,0,0,2,2,4,2,2,0,2,0
78839,3/17/2023,1050624,Migory County,Suna East Sub-County,Kwa Ward,Ogwedhi Sub-location,Ogwedhi A Village,1,,,,,0,0,,,,2,,,,0,0,2,2,4,1,2,0,2,0
49653,03/06/2023,1030545,Migory County,Nyatike Sub-County,Muhuru Ward,Ibencho Sub-location,Ibencho C Village,1,,,,,0,0,,,,1,,,,0,0,2,2,2,0,2,0,1,0
14240,03/06/2023,1020370,Migory County,Awendo Sub-County,South Sakwa Ward,Alego East Sub-location,Olande Village (Alego East Sub-location),1,,,,,0,1,,,,0,,,,1,,3,2,,3,3,0,0,
78859,3/17/2023,1050626,Migory County,Suna East Sub-County,Kwa Ward,Ogwedhi Sub-location,Ogwedhi A Village,1,,,,,0,0,,,,2,,,,0,0,2,2,4,2,2,0,2,0
99102,03/06/2023,1060765,Migory County,Suna West Sub-County,Wasweta 2 Ward,Nyamange sub location,Namba Village (Nyamange sub location),1,,,,,0,0,,,,1,,,,0,0,2,2,1,1,0,0,1,0
267347,04/12/2023,2051116,Homa Bay County,Rachuonyo North Sub-County,Wangchieng Ward,Kajiei Sub-location,Lower Kanyangwena Village,1,1,,0,0,0,1,,,,2,,,,1,1,3,3,6,1,1,1,2,1
147684,04/12/2023,2020647,Homa Bay County,Homabay Township Sub-County,West Ward,North Kanyabala Sub-location,Lala A Village,0,,1. Sick,2,0,,,,,,0,3,1,0,0,,3,,,,,,0,
275341,4/18/2023,2051164,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo West Ward,Rabuor Sub-location,Kakelo Village (Rabuor Sub-location),1,,,0,0,0,1,,,,3,,,,1,0,3,3,6,4,4,0,3,1
119569,3/17/2023,1070966,Migory County,Uriri Sub-County,East Kanyamkago Ward,Arambe Sub-location,Masara Village,1,,,,,0,1,,,,1,,,,1,0,4,4,3,3,2,0,1,1
372513,04/12/2023,2030791,Homa Bay County,Ndhiwa Sub-County,North Kabuoch Ward,Karading Sub-location,Wirakuom Village,1,,,0,0,0,0,,,,2,,,,1,0,4,4,4,4,1,0,2,0
61322,03/06/2023,1050698,Migory County,Suna East Sub-County,God Jope Ward,Manyatta Sub-location,Ng'iya Village,1,,,,,0,0,,,,2,,,,0,0,2,2,4,2,2,0,2,0
147608,04/12/2023,2020644,Homa Bay County,Homabay Township Sub-County,West Ward,North Kanyabala Sub-location,Lala A Village,0,,6. Other,0,0,,,,,,0,2,1,0,1,,3,,,,,,0,
147876,04/12/2023,2020715,Homa Bay County,Homabay Township Sub-County,Homabay Central Ward,Kalanya Kanyango Sub-location,Muche A Village,0,,1. Sick,1,0,,,,,,2,3,1,0,0,2,3,,4,,,,2,1
81510,03/06/2023,1050591,Migory County,Suna East Sub-County,Suna Central Ward,Mapera Sub-location,Mapera Koken'go Village,1,,,,,0,0,,,,0,,,,1,,2,2,,0,1,0,0,
19165,3/17/2023,1020385,Migory County,Awendo Sub-County,South Sakwa Ward,Alego Central Sub-location,Mariwa A Village (Alego Central Sub-location),1,,,,,0,0,,,,1,,,,1,0,2,2,2,2,0,0,1,0
164075,04/12/2023,2020682,Homa Bay County,Homabay Township Sub-County,Arujo Ward,Arujo Sub-location,Ruga South Village,1,,,0,0,0,0,,,,1,,,,0,0,2,2,2,1,3,0,1,0
10908,3/17/2023,1020354,Migory County,Awendo Sub-County,North Sakwa Ward,Kwoyo Kodalo  Sub-location,Kauma Village (Kwoyo Kodalo Sub-location),1,,,,,0,1,,,,1,,,,0,0,1,1,3,2,3,0,1,1
243541,04/12/2023,2051228,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kawadggone Sub-location,Adhiambo Village,1,,,0,0,0,1,,,,1,,,,0,0,4,3,1,1,1,0,1,1
52964,03/06/2023,1030445,Migory County,Nyatike Sub-County,North Kadem Ward,Kakelo Kakoth Sub-location,Nyora A Village,1,,,,,1,0,,,,1,,,,0,0,3,3,3,6,2,0,1,0
10496,3/17/2023,1020332,Migory County,Awendo Sub-County,North Sakwa Ward,East Kakmasia Sub-location,Kimaye Village (East Kakmasia),1,,,,,1,0,,,,1,,,,0,0,2,2,1,3,0,0,1,1
99133,03/06/2023,1060768,Migory County,Suna West Sub-County,Wasweta 2 Ward,Nyamange sub location,Namba Village (Nyamange sub location),1,,,,,0,0,,,,2,,,,0,0,3,3,2,1,1,0,2,0
225440,04/12/2023,2041076,Homa Bay County,Rachuonyo East Sub-County,Kabondo West Ward,Kasewe A Sub-location,Kitare B Village,1,,,0,0,1,1,,,,2,,,,0,0,4,4,4,2,2,0,2,2
94093,03/06/2023,1060797,Migory County,Suna West Sub-County,Wasimbete Ward,Mubachi Sub-location,Rosabare/Masurura Village,1,,,,,1,0,,,,1,,,,1,0,4,3,1,3,2,1,1,0
10799,3/17/2023,1020347,Migory County,Awendo Sub-County,North Sakwa Ward,East Kakmasia Sub-location,Kimaye Village (East Kakmasia),1,,,,,1,0,,,,2,,,,0,0,2,2,3,3,1,0,2,0
306031,04/12/2023,2061340,Homa Bay County,Rachuonyo South Sub-County,West Kasipul Ward,Kamiyawa B Sub-location,Kalanding A Village,1,,,0,0,0,0,,,,2,,,,0,0,4,4,4,2,2,0,2,0
